14926KSTC STC20050401123010804/01/05 12:30:31  5-MIN KSTC 011830Z AUTO 34019G25KT 10SM FEW055 09/M05  A3010 860 35 400 330/19G25 RMK AO2
14926KSTC STC20050401123510804/01/05 12:35:31  5-MIN KSTC 011835Z AUTO 35015G25KT 10SM FEW060 09/M05  A3010 860 35 400 350/15G25 RMK AO2
14926KSTC STC20050401124010804/01/05 12:40:31  5-MIN KSTC 011840Z AUTO 33018G23KT 10SM SCT060 09/M05  A3010 860 35 400 330/18G23 RMK AO2
14926KSTC STC20050401124512104/01/05 12:45:31  5-MIN KSTC 011845Z 32019G26KT 10SM SCT060 09/M05 A3010  860 35 400 320/19G26 RMK AO2 PK WND 33026/1843
14926KSTC STC20050401125013804/01/05 12:50:31  5-MIN KSTC 011850Z 34015G26KT 10SM BKN060 09/M04 A3010  860 37 400 340/15G26 RMK AO2 PK WND 33026/1843 SLP210 T00941044
14926KSTC STC20050401125510304/01/05 12:55:31  5-MIN KSTC 011855Z 33018G25KT 10SM BKN060 10/M04 A3010  860 36 500 330/18G25 RMK AO2
14926KSTC STC20050401130010304/01/05 13:00:31  5-MIN KSTC 011900Z 33015G25KT 10SM BKN060 09/M05 A3010  860 35 400 330/15G25 RMK AO2
14926KSTC STC20050401130510304/01/05 13:05:31  5-MIN KSTC 011905Z 35014G20KT 10SM BKN060 09/M04 A3010  860 38 400 340/14G20 RMK AO2
14926KSTC STC20050401131010304/01/05 13:10:31  5-MIN KSTC 011910Z 35014G21KT 10SM BKN060 09/M04 A3010  860 38 400 340/14G21 RMK AO2
14926KSTC STC20050401131510904/01/05 13:15:31  5-MIN KSTC 011915Z 32015G21KT 10SM BKN060 BKN075 10/M04 A3009 870 36 500 320/15G21 RMK AO2
14926KSTC STC20050401132010904/01/05 13:20:31  5-MIN KSTC 011920Z 32020G23KT 10SM BKN060 BKN075 10/M05 A3009 870 34 500 320/20G23 RMK AO2
14926KSTC STC20050401132510304/01/05 13:25:31  5-MIN KSTC 011925Z 32017G23KT 10SM BKN060 11/M05 A3009  870 33 600 320/17G23 RMK AO2
