14926KSTC STC20050501071509705/01/05 07:15:31  5-MIN KSTC 011315Z 29012KT 10SM OVC055 01/M03 A2998 970 75 -400 280/12 RMK AO2
14926KSTC STC20050501072009705/01/05 07:20:31  5-MIN KSTC 011320Z 28009KT 10SM OVC060 01/M03 A2999 970 75 -400 280/09 RMK AO2
14926KSTC STC20050501072510505/01/05 07:25:31  5-MIN KSTC 011325Z 28012KT 10SM BKN060 OVC100 01/M03  A2998 970 75 -400 280/12 RMK AO2
14926KSTC STC20050501073011205/01/05 07:30:31  5-MIN KSTC 011330Z 29011KT 10SM FEW022 BKN060 OVC100  01/M03 A2998 970 75 -400 290/11 RMK AO2
14926KSTC STC20050501073511705/01/05 07:35:31  5-MIN KSTC 011335Z 29014G18KT 10SM FEW022 BKN060 OVC100 02/M03 A2998 970 72 -300 290/14G18 RMK AO2
14926KSTC STC20050501074011205/01/05 07:40:31  5-MIN KSTC 011340Z 30013KT 10SM FEW024 SCT060 OVC100  02/M03 A2998 970 72 -300 300/13 RMK AO2
14926KSTC STC20050501074511205/01/05 07:45:31  5-MIN KSTC 011345Z 30013KT 10SM FEW024 SCT060 OVC100  02/M02 A2998 970 72 -300 290/13 RMK AO2
14926KSTC STC20050501075012905/01/05 07:50:31  5-MIN KSTC 011350Z 30012KT 10SM FEW024 SCT060 OVC100  02/M03 A2998 970 69 -300 300/12 RMK AO2 SLP171 T00221028
14926KSTC STC20050501075511705/01/05 07:55:31  5-MIN KSTC 011355Z 30014G20KT 10SM FEW025 BKN060 OVC100 02/M03 A2998 970 67 -300 290/14G20 RMK AO2
14926KSTC STC20050501080011705/01/05 08:00:31  5-MIN KSTC 011400Z 30012G20KT 10SM FEW025 BKN060 OVC100 02/M03 A2998 970 69 -300 290/12G20 RMK AO2
14926KSTC STC20050501080511205/01/05 08:05:31  5-MIN KSTC 011405Z 31015KT 10SM FEW023 BKN060 OVC100  02/M03 A2998 970 69 -300 300/15 RMK AO2
14926KSTC STC20050501081010505/01/05 08:10:31  5-MIN KSTC 011410Z 30014KT 10SM FEW025 OVC060 03/M03  A2998 970 67 -200 300/14 RMK AO2
